,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
ENAM,0,2,0,0,1,10,1,0,2,0,0,0
ENDOV,0,0,1,1,0,3,0,2,0,0,0,0
ENPP1,1,0,0,5,1,3,1,2,0,0,0,3
EPOR,1,0,0,1,1,1,3,2,0,1,0,3
EPX,0,0,2,2,2,11,0,8,4,0,0,1
ERAP1,0,0,1,1,0,7,14,3,13,0,0,0
ERAP2,1,0,0,1,2,12,0,0,34,0,0,0
ERCC2,0,1,0,2,8,9,0,0,0,1,1,1
ERCC6,0,0,1,3,6,16,3,1,0,0,0,0
ERCC6L2,0,2,0,2,2,2,0,2,1,0,0,0
EXO1,0,1,3,0,2,11,3,1,2,0,0,1
EXPH5,1,0,0,3,9,24,1,1,2,0,0,0
EXTL1,0,0,1,1,1,7,0,0,4,0,0,2
EYS,1,0,6,7,3,12,0,4,29,0,4,2
F12,0,0,6,1,0,9,0,1,2,0,0,0
F2RL1,1,0,0,0,0,0,0,1,16,0,0,0
FABP4,0,0,0,0,0,0,0,0,2,0,0,2
FAM111A,0,0,10,2,1,0,0,1,4,0,0,0
FAM111B,1,0,0,3,0,0,0,0,0,0,0,0
FAM120B,0,3,0,1,3,11,1,2,0,0,0,0
FAM161A,0,2,0,2,4,11,1,1,0,1,2,3
FAM71A,0,0,6,2,1,1,0,0,1,0,0,0
FAM83H,0,0,1,6,9,10,2,2,9,0,0,0
FAN1,1,2,0,2,0,9,0,1,2,0,0,0
FANCC,1,1,0,1,4,20,1,1,0,1,0,1
FANCD2,147,0,11,0,6,12,155,1,13,0,0,13
FANCL,0,0,1,1,0,4,0,0,0,0,0,1
FANCM,0,2,7,3,2,16,2,1,0,0,0,0
FAT2,1,0,0,4,17,91,3,11,7,0,0,0
FBLIM1,1,0,0,0,0,0,0,0,2,1,0,0
FBN3,1,0,0,8,17,56,6,5,62,1,0,7
FBXL6,1,1,0,0,1,10,0,2,3,0,0,6
FBXO38,1,0,0,1,1,7,0,0,5,0,0,0
FCGR2A,0,0,3,0,4,2,0,0,13,0,0,0
FCN1,0,3,1,0,1,0,1,1,5,0,0,0
FCN3,0,0,3,1,0,8,0,0,4,0,0,0
FCRL3,0,0,2,0,1,2,0,5,0,1,0,0
FCRL6,0,0,1,0,1,2,1,5,0,0,0,0
FERMT1,0,1,0,1,3,0,0,0,1,0,0,0
FGFRL1,0,0,0,1,1,6,2,0,8,0,0,0
FIP1L1,0,2,0,1,0,0,0,0,0,0,0,0
FKBP10,2,0,0,1,1,8,0,2,3,0,0,1
FKBP14,0,0,5,0,0,2,0,0,5,0,0,0
FKBP6,0,1,0,0,1,4,0,0,0,0,0,0
FLG,1,0,3,8,15,50,0,4,41,0,0,0
FLNB,1,0,0,4,7,25,3,1,25,0,0,3
FMO2,1,0,0,1,0,21,1,1,0,0,0,0
FOXD4,1,0,0,1,0,7,1,1,3,0,0,0
FPGT-TNNI3K,3,0,0,0,2,17,0,2,1,0,0,1
FRAS1,1,0,0,8,6,53,3,2,23,0,1,1
FREM1,1,0,0,4,6,8,8,3,9,1,1,1
FREM3,0,3,0,2,3,34,0,6,21,1,0,1
FRK,1,1,0,1,1,1,1,0,0,1,0,0
FSCB,0,0,1,0,15,23,1,2,1,0,0,0
FSTL1,1,0,0,0,0,0,0,0,1,0,0,0
FSTL5,0,1,0,0,1,5,1,2,0,0,0,0
FTCD,0,0,5,1,4,11,1,4,5,1,2,2
FZD3,1,0,0,1,1,0,0,1,1,0,0,0
G6PC,0,1,0,0,1,0,0,0,0,0,0,1
GABRG1,2,0,0,2,1,2,0,1,0,0,0,1
GAL3ST2,0,0,7,0,1,5,1,1,0,0,0,0
GAL3ST4,0,1,0,0,7,3,1,1,0,0,0,0
GALC,0,2,0,2,1,8,1,1,10,0,0,10
GALNT5,0,0,0,1,3,8,0,1,0,0,0,0
GAS6,0,1,0,2,1,4,1,1,13,0,0,0
GC,1,1,0,2,1,5,1,0,1,0,0,0
GCKR,0,0,4,0,2,3,0,1,0,0,0,3
GDF1,0,0,1,1,1,0,0,6,1,0,0,0
GEN1,2,0,0,0,0,5,2,0,6,0,0,0
GFPT2,1,0,0,1,1,0,0,0,1,0,0,1
GGCX,1,0,0,1,1,1,0,0,10,1,0,0
GH2,0,0,5,2,0,0,1,0,0,0,1,1
GJA5,1,0,0,0,0,0,0,0,2,0,0,0
GJB2,0,0,18,0,0,5,0,0,0,0,0,13
GJB4,0,0,8,1,1,4,0,1,6,0,0,0
GNA14,0,2,0,2,0,18,1,2,1,0,0,1
GNPTAB,1,1,1,3,3,2,1,1,11,0,0,0
GNRHR,1,0,0,1,5,3,0,0,0,0,0,1
GOSR2,0,1,0,1,0,1,0,0,0,0,0,2
GP1BA,1,1,0,0,2,3,0,2,0,0,0,0
GP6,0,1,0,4,1,43,0,4,1,0,0,0
GPD2,0,1,0,2,1,4,2,0,0,0,0,0
GPR152,0,0,2,3,0,10,1,2,0,0,0,2
GPR179,0,0,3,0,2,9,4,1,9,0,0,0
GPR55,0,0,1,0,0,1,0,2,0,0,0,0
GPR68,0,0,3,0,2,4,2,2,2,0,0,0
GPRC5A,0,0,12,0,0,1,0,2,0,0,0,0
GRK1,0,0,4,1,2,16,3,3,17,0,0,0
GRM6,0,0,1,1,2,6,1,3,36,0,0,1
GSR,0,1,0,3,2,2,0,2,1,0,0,0
GSTM4,0,0,2,0,1,1,0,0,0,0,0,0
GTF2H3,0,0,3,0,1,0,0,0,2,0,0,0
GUCA1B,0,0,1,0,0,0,1,0,0,0,0,0
GUCY2D,1,0,1,3,5,5,2,0,5,1,0,0
GYG2,2,0,0,0,0,0,0,0,0,0,0,0
GYPA,0,1,0,0,2,1,1,2,0,0,0,1
GYS2,0,0,1,0,0,14,0,0,2,0,0,0
GZMB,0,1,0,1,0,1,0,0,0,0,0,6
H2BFWT,0,2,0,0,0,4,1,0,0,0,0,0
HABP2,0,0,2,1,1,5,0,2,3,0,0,0
HAP1,1,0,0,0,2,4,0,3,1,0,1,0
HAS1,1,0,0,2,3,0,1,0,0,0,0,0
HAVCR1,0,1,0,0,8,3,0,7,3,0,0,0
HBB,0,0,1,0,0,4,0,0,4,0,0,0
HIST3H3,0,0,1,0,1,1,0,0,0,0,0,0
HLA-DOA,1,0,0,0,0,1,1,0,0,0,0,1
HLA-DPB1,1,0,0,155,1,0,0,0,0,0,0,0
HLA-DQA1,0,0,2,0,0,6,0,0,2,0,0,0
HLA-DRB1,72,3,0,1,227,131,0,33,40,11,5,7
HLA-DRB5,54,63,46,21,122,329,48,85,74,74,6,0
HLA-G,0,0,0,0,0,0,0,0,0,0,0,0
HLTF,0,1,0,1,2,5,2,0,4,0,0,0
HMMR,1,0,0,3,2,3,0,0,1,0,0,0
HNF4A,0,0,1,0,0,0,2,0,7,1,1,0
HPGD,0,2,0,0,1,0,1,1,1,0,1,0
HPS4,1,0,0,0,0,11,2,0,1,0,0,0
HRG,0,7,0,2,1,19,0,2,17,0,0,0
HSD17B2,0,3,1,0,8,1,2,0,5,0,1,0
HTR5A,0,1,0,1,0,1,2,0,0,0,0,0
HUS1B,2,0,0,0,4,1,3,1,0,0,0,0
ICAM4,0,0,3,1,0,1,0,3,1,0,0,0
IDE,0,0,1,4,2,0,0,1,6,0,0,1
IDUA,0,0,1,0,4,24,1,7,6,1,0,0
IFIH1,0,1,7,0,1,7,0,0,3,0,1,2
IFITM3,1,0,0,1,0,0,1,0,0,0,0,0
IFITM5,0,1,0,0,1,0,0,2,2,0,0,0
IFNA10,0,0,1,1,1,3,0,0,0,0,0,0
IFT43,0,0,0,0,0,0,0,0,0,0,0,1
IGF2,0,0,1,0,0,0,0,0,3,0,0,0
IGSF3,196,0,0,721,240,386,252,358,214,0,0,14
IL16,0,1,0,1,6,11,0,0,11,0,0,0
IL7R,1,0,0,0,1,2,0,0,0,0,0,0
ILDR1,2,1,0,2,6,1,0,3,8,0,0,2
IMPDH2,1,0,0,0,1,0,0,0,0,0,0,0
INPP5B,0,1,1,0,4,0,1,0,4,0,0,0
INS-IGF2,1,0,0,0,0,0,0,0,0,0,0,0
INSIG1,0,2,0,0,3,0,0,0,0,0,0,0
INSL6,0,0,8,1,2,2,1,0,0,0,0,2
IQCE,0,1,19,4,2,11,3,7,3,0,0,0
