,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
BICD1,1,0,0,35,13,18,24,55,4,0,0,27
BIN1,0,0,3,17,16,18,13,6,21,0,1,3
BIVM-ERCC5,4,1,2,35,41,351,22,33,127,0,1,7
BLK,0,0,2,27,21,130,18,34,214,1,0,10
BLM,5,28,0,30,31,168,6,14,108,4,3,0
BLMH,0,2,0,17,3,37,15,12,4,0,5,0
BLOC1S5,0,0,1,0,1,1,3,0,155,3,0,0
BMS1,1,0,0,25,12,186,9,16,68,0,1,0
BOC,2,0,0,43,45,68,7,25,16,0,5,2
BOLA3,1,0,0,0,7,10,0,0,0,0,0,4
BPGM,1,0,0,4,6,0,1,0,17,0,0,0
BPIFA1,0,5,0,11,3,34,7,0,0,0,3,9
BPIFA3,0,0,1,0,5,11,0,0,2,0,0,0
BRAF,7,0,0,3,1,1,5,24,28,1,2,8
BRAT1,0,10,0,50,44,353,20,29,95,0,0,1
BRCA1,10,0,21,49,99,156,26,22,61,53,59,68
BRCA2,5,11,0,53,54,446,18,28,178,0,1,1
BRIP1,7,11,0,24,35,177,1,8,68,0,6,2
BRWD1,3,1,0,61,66,48,23,25,287,5,3,75
BSG,1,0,0,9,23,186,17,16,7,3,9,8
BST1,0,0,1,18,2,0,4,6,5,0,0,0
BTBD9,1,0,0,12,49,1,0,21,52,3,23,9
BTC,2,0,0,1,15,6,0,2,25,0,0,7
BTD,0,8,0,3,28,46,7,2,45,2,0,0
BTN1A1,12,0,0,10,16,16,46,0,110,0,0,0
BTN2A1,1,1,333,29,18,51,9,13,0,0,1,0
BUB1,0,2,0,17,16,35,2,13,49,0,0,0
BVES,0,4,0,52,1,8,0,11,11,0,1,18
C10orf11,0,15,0,1,2,0,0,1,44,0,0,13
C10orf53,0,0,1,0,0,0,0,0,0,0,0,0
C11orf40,2,0,0,0,0,0,11,0,1,14,26,32
C12orf10,10,0,0,5,9,77,5,1,25,0,0,0
C12orf65,0,0,2,7,1,0,1,5,0,2,1,0
C14orf105,3,27,1,1,14,14,0,0,2,0,0,0
C15orf41,9,0,0,0,15,12,9,7,1,0,22,0
C16orf52,0,0,1,0,0,0,0,0,0,0,0,0
C16orf58,1,4,0,6,2,114,18,6,0,0,1,0
C18orf8,2,0,0,14,18,180,2,20,0,1,0,0
C19orf12,2,34,0,5,3,82,18,2,26,41,126,53
C19orf25,0,0,1,0,0,0,0,0,0,0,0,0
C1QA,0,2,0,1,2,7,0,0,3,0,0,0
C1QTNF5,0,0,7,3,4,50,5,9,2,0,0,0
