,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
BST1,0,1,2,21,4,0,5,10,2,3,0,0
BTBD16,0,1,0,0,2,0,0,0,0,1,0,0
BTC,1,0,0,0,30,9,0,0,22,0,2,12
BTD,0,2,0,6,35,46,1,2,48,1,0,0
BTN1A1,10,0,0,4,11,11,61,0,146,2,0,0
BTN2A1,0,3,324,27,23,53,11,20,0,2,0,0
BTNL2,0,1,0,3,7,0,0,2,7,0,0,0
BTRC,1,0,0,9,11,3,1,3,18,0,1,0
BUB1,2,2,0,16,14,40,6,16,40,0,0,0
BVES,0,1,0,50,10,5,1,5,15,0,2,19
C10orf11,0,11,0,2,3,0,0,2,49,0,0,4
C10orf53,0,0,1,0,0,0,0,0,0,0,0,0
C11orf40,1,0,0,0,0,0,7,0,1,13,23,22
C12orf10,7,0,0,5,9,77,7,2,30,1,0,0
C12orf65,0,0,3,6,0,4,0,5,3,0,2,0
C14orf105,4,26,2,0,14,14,1,1,1,0,0,0
C15orf41,8,0,0,1,19,18,12,6,1,0,22,0
C16orf52,0,0,1,0,0,0,0,0,0,0,0,0
C16orf58,1,4,0,2,1,119,21,7,0,0,4,0
C19orf12,2,38,0,7,2,83,14,5,31,48,112,49
C19orf25,0,0,4,0,0,0,0,0,0,0,0,0
C1QA,0,1,0,2,3,8,0,3,1,0,0,0
C1QTNF5,0,0,8,3,6,49,5,11,0,0,0,0
C1orf116,0,0,1,1,0,1,0,0,0,0,0,0
C1orf168,4,7,11,15,9,24,2,6,0,0,0,0
C2,3,0,0,8,38,9,8,5,0,0,0,24
C21orf2,6,1,11,28,57,52,12,47,21,0,3,1
C22orf31,0,1,0,0,0,0,0,0,0,0,0,0
